date,open,high,low,Close,Volume
1/2/04,45.4099,46.0071,45.4071,45.7461,11182200
1/5/04,46.0566,46.3833,45.8768,46.2812,8686000
1/6/04,46.3098,46.6203,46.1587,46.2199,6196800
1/7/04,46.2902,46.7918,46.1431,46.7101,5919600
1/8/04,47.09,47.2738,46.7346,47.0655,6201200
1/9/04,46.8359,47.3882,46.6162,46.6897,9598000
1/12/04,46.9266,47.5884,46.7714,47.5639,5907000
1/13/04,47.5095,47.5148,46.7391,47.3637,8131000
1/14/04,47.5377,47.7027,47.2902,47.6088,6592000
1/15/04,47.6905,47.8347,47.09,47.7313,6338000
1/16/04,48.0785,48.2501,47.8416,47.9968,6732200
1/20/04,48.2419,48.6627,47.9192,48.5728,7429800
1/21/04,48.5483,48.7607,47.9968,48.5075,8255600
1/22/04,48.8179,48.9078,48.0622,48.2338,7189000
1/23/04,48.2787,48.536,47.9478,48.4952,8255400
1/26/04,48.487,49.0426,48.1643,48.9772,4996200
1/27/04,48.9445,48.9772,48.3196,48.3645,6646800
1/28/04,48.6888,48.7485,47.3351,47.6088,12830000
1/29/04,47.6701,47.7885,46.6325,47.1595,17243600
1/30/04,47.2244,47.5393,46.8735,47.2207,8807200
2/2/04,47.3188,47.6905,46.8286,47.3433,10310800
2/3/04,47.2207,47.3106,47.0206,47.0778,4679200
2/4/04,46.8899,46.898,45.8727,45.9136,11437000
2/5/04,46.2138,46.5141,45.9912,46.3425,9354400
2/6/04,46.3425,47.6415,46.3425,47.5148,11458200
2/9/04,47.7072,47.9152,47.4617,47.6088,8756000
2/10/04,47.6292,48.2215,47.5312,48.1807,4896000
2/11/04,48.2068,48.581,47.9968,48.4748,8204200
2/12/04,48.4993,48.6504,48.1235,48.1439,5121000
2/13/04,48.2938,48.5034,47.5475,47.6496,7421800
2/17/04,47.9642,48.487,47.9397,48.487,6605200
2/18/04,48.5279,48.5565,47.9887,48.1316,5221200
2/19/04,48.5279,48.5851,47.282,47.282,9321400
