Date,Open,High,Low,Close,Volume
6/1/10,144.259995,146.399994,141.699997,141.860001,9455200
6/2/10,142,145,141.139999,144.830002,7668400
6/3/10,144.910004,145.25,142.5,144.039993,7454900
6/4/10,142.169998,145.869995,141.710007,142.25,14900400
6/7/10,142.279999,143.270004,137.850006,138.679993,12238600
6/8/10,139.139999,139.679993,135.050003,137.779999,14587000
6/9/10,138.589996,139.419998,136.220001,136.800003,8950600
6/10/10,137.600006,137.770004,131.300003,133.770004,21931000
6/11/10,133.330002,136.050003,133,135.639999,9241800
6/14/10,137.110001,137.110001,133.399994,133.440002,10951400
6/15/10,134.630005,137.399994,133.300003,136.899994,10649300
6/16/10,136.059998,138.259995,135.710007,137.059998,7077700
6/17/10,136.949997,138.380005,135.220001,137.320007,8104300
6/18/10,137.820007,139.720001,137.520004,138.179993,10154900
6/21/10,139.649994,140.149994,137.309998,137.740005,8691000
6/22/10,137.539993,137.75,134.589996,134.789993,9002200
6/23/10,133.899994,136.380005,132.729996,135.070007,8232200
6/24/10,134.139999,135.979996,133.110001,134.979996,9967900
6/25/10,136.990005,140.899994,135.429993,139.660004,14332300
6/28/10,140.380005,140.380005,136.529999,136.660004,9908100
6/29/10,134.979996,135.850006,133.169998,133.759995,10338100
6/30/10,133.679993,134.300003,131.020004,131.270004,9139800
7/1/10,131.690002,133.75,129.5,131.139999,11645300
7/2/10,132.110001,132.380005,129.690002,131.080002,6566400
7/6/10,133.740005,134.389999,131.070007,132.259995,7820100
7/7/10,132.440002,136.130005,132.070007,135.830002,9300400
7/8/10,136.919998,137.169998,133.559998,135.460007,9895700
7/9/10,135.360001,138.5,134.589996,138.059998,6919900
7/12/10,137.610001,138.309998,136.029999,137.25,4728900
7/13/10,138.5,141.199997,138.110001,140.25,8983900
7/14/10,139.289993,139.589996,137.649994,139.059998,6068500
7/15/10,140.020004,146.25,137.820007,145.220001,21621900
7/16/10,151.470001,152,146.050003,146.169998,29604600
7/19/10,147.669998,147.699997,144.100006,145.679993,10875900
7/20/10,142.179993,149.729996,141.550003,148.910004,20571400
7/21/10,150.050003,150.970001,146.860001,146.990005,11337000
7/22/10,148.880005,149.880005,144.160004,146.550003,13307300
7/23/10,146.649994,148.410004,144.570007,147.380005,7306900
7/26/10,147.389999,149,145.210007,148.199997,6089000
7/27/10,149.089996,149.660004,147,147.229996,7151200
7/28/10,147,148.649994,146.779999,147.199997,4845600
7/29/10,148.270004,153.149994,147.630005,152.580002,15657700
7/30/10,151.350006,153.410004,150.800003,150.820007,8792400
8/2/10,152.820007,153.639999,151.610001,152.740005,6523100
8/3/10,152.119995,153.960007,151.410004,153.190002,5648500
8/4/10,153.619995,157.25,153,156.410004,12283700
8/5/10,155.630005,156.220001,154.399994,155.919998,5680200
8/6/10,154.539993,156.059998,153.770004,155.179993,8082600
8/9/10,155.929993,156.199997,154.589996,155.399994,4209800
8/10/10,154.020004,154.770004,153.179993,153.899994,5861700
8/11/10,151.720001,152,148.910004,149.25,7734400
8/12/10,147.809998,150.589996,147.809998,149.419998,4949300
8/13/10,149.380005,150.449997,148.080002,148.080002,4218700
8/16/10,147.580002,149.179993,147,147.759995,3760100
8/17/10,148.679993,149.789993,148.139999,148.589996,4391600
8/18/10,148.539993,149.940002,147.729996,149.199997,4460600
8/19/10,148.669998,149.660004,146.279999,147.050003,5290900
8/20/10,147.440002,148.970001,147.25,148.240005,5276800
8/23/10,148.119995,148.5,146.600006,146.740005,3729200
8/24/10,144.800003,145.490005,143.820007,143.949997,6372300
8/25/10,142.809998,145.330002,142.75,144.679993,5638400
8/26/10,144.940002,145.160004,141.660004,141.809998,6818100
8/27/10,141.130005,141.740005,138.25,139.75,11252000
8/30/10,138.830002,140.110001,136.649994,136.660004,6205800
8/31/10,136.25,138.009995,135.789993,136.929993,7064100
9/1/10,139.009995,140.339996,137.800003,139.740005,6897700
9/2/10,139.929993,140.149994,138.449997,139.779999,4992000
9/3/10,141.619995,147.990005,141.330002,147.289993,13588500
9/7/10,146.149994,146.240005,144.149994,145.210007,6211300
9/8/10,145.380005,149.660004,145.360001,147.539993,8310300
9/9/10,149.789993,150.679993,148.5,149.139999,6729800
9/10/10,149.460007,150.75,148.809998,150.389999,4417200
9/13/10,152.320007,154.699997,152.300003,154.369995,7653600
9/14/10,153.539993,153.75,152.229996,152.529999,5688200
9/15/10,151.669998,152.800003,150.669998,152.559998,5698200
9/16/10,152.279999,152.479996,151.160004,152.229996,4388600
9/17/10,152.110001,152.470001,150.559998,150.979996,4835600
